,symbol,Name,Score
46,👏,CLAPPING HANDS SIGN,196063427
31,💖,SPARKLING HEART,268002254
49,🌹,ROSE,188924541
33,✅,WHITE HEAVY CHECK MARK,246454960
8,😔,PENSIVE FACE,610729615
40,💗,GROWING HEART,211004650
35,⬅️,LEFTWARDS BLACK ARROW,240867816
27,💙,BLUE HEART,345490217
38,😄,SMILING FACE WITH OPEN MOUTH AND SMILING EYES,216897498
9,😘,FACE THROWING A KISS,601346378
29,😳,FLUSHED FACE,323959744
37,😋,FACE SAVOURING DELICIOUS FOOD,228685463
14,🙏,PERSON WITH FOLDED HANDS,477881721
20,👌,OK HAND SIGN,428099756
22,✨,SPARKLES,391933540
42,😞,DISAPPOINTED FACE,201595249
7,💕,TWO HEARTS,611643196
26,💜,PURPLE HEART,350315651
39,💀,SKULL,212210505
24,😌,RELIEVED FACE,354861079
112,😹,CAT FACE WITH TEARS OF JOY,60151898
89,⚡️,HIGH VOLTAGE SIGN,98644138
85,✔️,HEAVY CHECK MARK,106602002
132,👅,TONGUE,49018100
97,😚,KISSING FACE WITH CLOSED EYES,84548564
87,😓,FACE WITH COLD SWEAT,102379567
103,😠,ANGRY FACE,73013204
82,😣,PERSEVERING FACE,108660480
67,😬,GRIMACING FACE,134605795
128,☕️,HOT BEVERAGE,52064912
96,➖,HEAVY MINUS SIGN,85046799
108,🎧,HEADPHONE,62194340
73,💓,BEATING HEART,118302947
95,💰,MONEY BAG,85315373
65,💘,HEART WITH ARROW,142570532
147,😮,FACE WITH OPEN MOUTH,42119582
86,😻,SMILING CAT FACE WITH HEART-SHAPED EYES,102905930
62,👇,WHITE DOWN POINTING BACKHAND INDEX,147237251
119,✊,RAISED FIST,55789651
80,🔴,LARGE RED CIRCLE,113898437
53,💛,YELLOW HEART,179124950
127,🌷,TULIP,52107839
57,😡,POUTING FACE,161267920
121,💩,PILE OF POO,54854330
66,💋,KISS MARK,137893844
134,🌈,RAINBOW,47496279
58,💚,GREEN HEART,159125324
129,❗️,HEAVY EXCLAMATION MARK SYMBOL,51502093
139,📍,ROUND PUSHPIN,46078513
130,🎁,WRAPPED PRESENT,50941135
81,👑,CROWN,109221284
79,😝,FACE WITH STUCK-OUT TONGUE AND TIGHTLY-CLOSED EYES,114190492
149,☁️,CLOUD,40474720
106,🌺,HIBISCUS,63326338
69,😫,TIRED FACE,131099586
52,😕,CONFUSED FACE,179207554
64,😃,SMILING FACE WITH OPEN MOUTH,145618330
117,💃,DANCER,56281828
137,🍃,LEAF FLUTTERING IN WIND,46289360
74,▶️,BLACK RIGHT-POINTING TRIANGLE,117636764
