,emoji,emoji_num,anger,anticipation,disgust,fear,joy,sadness,surprise,trust
0,👏,0,0.08,0.39,0.08,0.0,0.64,0.0,0.25,0.53
1,💖,1,0.0,0.33,0.0,0.0,0.89,0.0,0.25,0.53
2,🌹,2,0.0,0.36,0.0,0.0,0.56,0.0,0.11,0.72
3,✅,3,0.0,0.31,0.0,0.0,0.19,0.0,0.0,0.33
4,😔,4,0.25,0.22,0.31,0.28,0.0,0.72,0.19,0.14
5,💗,5,0.0,0.36,0.0,0.0,0.89,0.0,0.22,0.5
6,⬅️,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,💙,7,0.0,0.25,0.0,0.0,0.61,0.17,0.17,0.28
8,😄,8,0.0,0.36,0.0,0.0,0.86,0.0,0.28,0.28
9,😘,9,0.0,0.33,0.0,0.0,0.72,0.0,0.17,0.61
10,😳,10,0.06,0.36,0.33,0.5,0.14,0.19,0.44,0.08
11,😋,11,0.0,0.47,0.0,0.0,0.78,0.0,0.19,0.11
12,🙏,12,0.06,0.44,0.0,0.11,0.25,0.11,0.17,0.58
13,👌,13,0.0,0.36,0.0,0.0,0.22,0.0,0.22,0.56
14,✨,14,0.0,0.36,0.0,0.06,0.53,0.0,0.44,0.31
15,😞,15,0.39,0.19,0.5,0.33,0.0,0.92,0.06,0.08
16,💕,16,0.0,0.31,0.0,0.0,0.83,0.0,0.11,0.75
17,💜,17,0.0,0.11,0.06,0.06,0.47,0.11,0.08,0.31
18,💀,18,0.19,0.14,0.25,0.61,0.03,0.31,0.06,0.11
19,😌,19,0.0,0.33,0.0,0.11,0.81,0.0,0.22,0.61
20,😹,20,0.0,0.17,0.0,0.0,0.94,0.0,0.14,0.28
21,⚡️,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,✔️,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,👅,23,0.0,0.17,0.0,0.0,0.36,0.0,0.08,0.11
24,😚,24,0.0,0.44,0.0,0.0,0.86,0.0,0.22,0.67
25,😓,25,0.19,0.44,0.31,0.64,0.0,0.36,0.17,0.11
26,😠,26,1.0,0.17,0.56,0.17,0.0,0.25,0.11,0.08
27,😣,27,0.31,0.28,0.67,0.47,0.0,0.64,0.0,0.08
28,😬,28,0.14,0.53,0.28,0.44,0.17,0.11,0.25,0.11
29,☕️,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,➖,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,🎧,31,0.0,0.08,0.0,0.0,0.44,0.0,0.0,0.03
32,💓,32,0.0,0.47,0.0,0.08,0.61,0.0,0.19,0.67
33,💰,33,0.0,0.58,0.0,0.06,0.47,0.06,0.25,0.36
34,💘,34,0.03,0.31,0.06,0.06,0.67,0.14,0.06,0.64
35,😮,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,😻,36,0.0,0.42,0.0,0.0,0.75,0.06,0.33,0.42
37,👇,37,0.11,0.14,0.0,0.06,0.0,0.0,0.0,0.11
38,✊,38,0.25,0.5,0.17,0.11,0.03,0.11,0.08,0.36
39,🔴,39,0.08,0.06,0.0,0.11,0.0,0.03,0.19,0.0
40,💛,40,0.03,0.11,0.06,0.0,0.53,0.08,0.08,0.36
41,🌷,41,0.0,0.31,0.0,0.0,0.44,0.0,0.0,0.22
42,😡,42,1.0,0.11,0.56,0.11,0.0,0.36,0.08,0.06
43,💩,43,0.14,0.08,0.64,0.0,0.25,0.03,0.19,0.11
44,💋,44,0.0,0.28,0.0,0.0,0.78,0.0,0.19,0.69
45,🌈,45,0.0,0.28,0.0,0.0,0.69,0.06,0.22,0.33
46,💚,46,0.0,0.11,0.0,0.0,0.58,0.03,0.03,0.33
47,❗️,47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,📍,48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,🎁,49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,👑,50,0.0,0.25,0.0,0.0,0.28,0.0,0.11,0.25
51,😝,51,0.0,0.22,0.06,0.08,0.83,0.0,0.22,0.14
52,☁️,52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,🌺,53,0.0,0.11,0.0,0.0,0.39,0.0,0.06,0.19
54,😫,54,0.36,0.14,0.64,0.17,0.11,0.72,0.06,0.06
55,😕,55,0.19,0.42,0.36,0.36,0.0,0.39,0.28,0.17
56,😃,56,0.0,0.31,0.0,0.06,0.83,0.0,0.33,0.36
57,💃,57,0.0,0.11,0.0,0.0,0.69,0.0,0.17,0.19
58,🍃,58,0.0,0.31,0.0,0.0,0.11,0.17,0.03,0.06
59,▶️,59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
