symbol,Name,Score
😂,FACE WITH TEARS OF JOY,3739707175
❤️,HEAVY BLACK HEART,1978711147
😭,LOUDLY CRYING FACE,1665660824
😍,SMILING FACE WITH HEART-SHAPED EYES,1321723060
♻️,BLACK UNIVERSAL RECYCLING SYMBOL,985746167
♥️,BLACK HEART SUIT,886385891
😊,SMILING FACE WITH SMILING EYES,821586526
💕,TWO HEARTS,611643196
😔,PENSIVE FACE,610729615
😘,FACE THROWING A KISS,601346378
😒,UNAMUSED FACE,567010482
😩,WEARY FACE,554663131
😁,GRINNING FACE WITH SMILING EYES,537933680
☺️,WHITE SMILING FACE,487980855
🙏,PERSON WITH FOLDED HANDS,477881721
🔥,FIRE,465766066
👍,THUMBS UP SIGN,458061126
😅,SMILING FACE WITH OPEN MOUTH AND COLD SWEAT,446483013
👀,EYES,443696049
😉,WINKING FACE,441120741
👌,OK HAND SIGN,428099756
😏,SMIRKING FACE,418443329
✨,SPARKLES,391933540
💔,BROKEN HEART,355509177
😌,RELIEVED FACE,354861079
😎,SMILING FACE WITH SUNGLASSES,351106292
💜,PURPLE HEART,350315651
💙,BLUE HEART,345490217
😢,CRYING FACE,327501040
😳,FLUSHED FACE,323959744
💯,HUNDRED POINTS SYMBOL,274985682
💖,SPARKLING HEART,268002254
🎶,MULTIPLE MUSICAL NOTES,261559735
✅,WHITE HEAVY CHECK MARK,246454960
🙌,PERSON RAISING BOTH HANDS IN CELEBRATION,246347449
⬅️,LEFTWARDS BLACK ARROW,240867816
🙈,SEE-NO-EVIL MONKEY,230646764
😋,FACE SAVOURING DELICIOUS FOOD,228685463
😄,SMILING FACE WITH OPEN MOUTH AND SMILING EYES,216897498
💀,SKULL,212210505
💗,GROWING HEART,211004650
✌️,VICTORY HAND,206371510
😞,DISAPPOINTED FACE,201595249
😜,FACE WITH STUCK-OUT TONGUE AND WINKING EYE,199860739
👉,WHITE RIGHT POINTING BACKHAND INDEX,198264317
😑,EXPRESSIONLESS FACE,197987042
👏,CLAPPING HANDS SIGN,196063427
😴,SLEEPING FACE,195281736
😆,SMILING FACE WITH OPEN MOUTH AND TIGHTLY-CLOSED EYES,190052246
🌹,ROSE,188924541
😐,NEUTRAL FACE,187096856
😪,SLEEPY FACE,184108200
😕,CONFUSED FACE,179207554
💛,YELLOW HEART,179124950
💪,FLEXED BICEPS,174938028
😀,GRINNING FACE,167231192
